from_speaker,to_speaker,count
Part 5,Unknown Speaker,3
Part 6,Unknown Speaker,3
Part 7 Pastor Steven L. Shelley,Unknown Speaker,3
Pastor Dr. Ernest R Montoya,Ernest R Montoya,3
Pastor Isiah Brooks [Higher Ground Tabernacle],Unknown Speaker,3
Pastor Jesse Robledo,Jesse Robledo,3
Pastor Paul Onandjeka,Paul Onandjeka,3
Pastor Shane Moodley,Shane Moodley,3
Pastor Tim Pruitt at Evening Light Tabernacle,Tim Pruitt,3
"Pastor, Dr. Ernest R. Montoya",Ernest R. Montoya,3
Pt 1  Apostle Edgar H. Roscoe,Unknown Speaker,3
Pt 2  Apostle Edgar H. Roscoe,Unknown Speaker,3
Quickening Power,Quickening,3
Rapturing Faith,Rapturing,3
Samuel Browning (Part 2),Samuel Browning,3
Sis. Adina,Adina,3
Sis. Faith,Unknown Speaker,3
Sis. Stella,Stella,3
The Kingdom of God,The,3
The Will of God,The Will,3
Unknown Speaker,Billy Mbuyi,3
Unknown Speaker,Felix Tapia,3
Unknown Speaker,Thomas Perez,3
Wednesday evening,Unknown Speaker,3
Wisdom Versus Faith,Wisdom Versus,3
(Higher Ground Tabernacle),Unknown Speaker,2
- Bloteh Won,Bloteh Won,2
10,Unknown Speaker,2
10052025,Unknown Speaker,2
107,Unknown Speaker,2
12124,Nick Wright,2
18,Unknown Speaker,2
1st Service,1st,2
2024 Phoenix Tabernacle Convention,Unknown Speaker,2
2nd Service,2nd,2
3rd Service,3rd,2
50th Anniversary Meeting,50th Anniversary,2
60-1204M The Revelation Of Jesus Christ,60-1204M The Revelation,2
60-1205 The Ephesian Church Age,Unknown Speaker,2
60-1208 The Thyatirean Church Age,Unknown Speaker,2
60-1210 The Philadelphian Church Age,Unknown Speaker,2
60-1211E The Laodicean Church Age,Unknown Speaker,2
63-0318 The First Seal,63-0318 The,2
63-0319 The Second Seal,63-0319 The,2
63-0321 The Fourth Seal,63-0321 The Fourth,2
63-0623M Standing In The Gap,63-0623M Standing,2
63-0825E Perfect Faith,63-0825E Perfect,2
63-0901M Token,63-0901M,2
63-1110E He That Is In You,63-1110E,2
64-0614M The Unveiling Of God,64-0614M The Unveiling,2
64-0726M Recognizing Your Day And Its Message,64-0726M Recognizing Your Day And,2
65-0217 A Man Running From The Presence Of The Lord,65-0217 A Man Running From The Presence Of The,2
65-0220 God's Chosen Place Of Worship,65-0220 Gods Chosen Place,2
65-0429E The Choosing Of A Bride,65-0429E The Choosing Of A,2
65-1205 Things That Are To Be,65-1205,2
8,Unknown Speaker,2
8424,Thomas Byler,2
A Body Hast Thou Prepared Me,A Body Hast Thou Prepared,2
A Study of Job (Bible Study),A,2
A Study on the Book of Revelations Pt.41 (The Fifth Seal),A,2
A Study on the Book of Revelations Pt.44 (The Soul Pt.1),A,2
A Study on the Book of Revelations Pt.45 (The Soul Pt.2),A,2
A Study on the Book of Revelations Pt.46 (Soul,A,2
A Study on the Book of Revelations Pt.48 (The Sixth Seal),A,2
A Study on the Book of Revelations Pt.49 (The Tribulation),A,2
