date,status,speaker,title,url,last_checked,language,type,description
2020-03-11,Success,Bloteh Won,03-11-2020 Genesis Chapter One - Bro Bloteh Won,https://www.youtube.com/watch?v=zpJ8RMCYe40,2025-12-30,Unknown,Full Sermon,
2020-03-15,Success,Bloteh Won,03-15-2020 A Just Recompense Of Reward - Bro Bloteh Won,https://www.youtube.com/watch?v=f30Eo6l98A4,2025-12-30,Unknown,Full Sermon,
2020-03-18,Success,Bloteh Won,03-18-2020 Wednesday Prayer Service - Bro Bloteh Won,https://www.youtube.com/watch?v=3pRfh6oX4dI,2025-12-30,Unknown,Full Sermon,
2020-03-22,Success,Bloteh Won,03-22-2020 All Power in Heaven and Earth is Given Unto Me - Bro Bloteh Won,https://www.youtube.com/watch?v=lSh0ACOg7fU,2025-12-30,Unknown,Full Sermon,
2020-03-25,Success,Bloteh Won,03-25-2020 All Power Is Given Unto Me - Bro Bloteh Won,https://www.youtube.com/watch?v=SYp2WULppRA,2025-12-30,Unknown,Full Sermon,
2020-03-29,Success,Unknown Speaker,03-29-2020 The Secret Place Of The Most High,https://www.youtube.com/watch?v=SHueE7ffoYU,2025-12-28,Unknown,Full Sermon,
2020-04-01,Success,Unknown Speaker,04-01-2020 Mark Of The Beast,https://www.youtube.com/watch?v=lSazUhK6xRY,2025-12-28,Unknown,Full Sermon,
2020-04-05,Success,Unknown Speaker,04-05-2020 Business Meeting,https://www.youtube.com/watch?v=EZIQlpwiIUY,2025-12-28,Unknown,Full Sermon,
2020-04-05,Success,Unknown Speaker,04-05-2020 This Generation Is Like Children Walking Through The Graveyard,https://www.youtube.com/watch?v=d-FQO7CnRkY,2025-12-28,Unknown,Full Sermon,
2020-04-08,Success,Unknown Speaker,04-08-2020 A Lamb For A House,https://www.youtube.com/watch?v=WMUXIAnKiR0,2025-12-28,Unknown,Full Sermon,
2020-04-12,Success,Under His Voice,04-12-2020 Easter Service - Under His Voice,https://www.youtube.com/watch?v=H7IVuw_hc_k,2025-12-30,Unknown,Full Sermon,
2020-04-12,Success,Unknown Speaker,04-12-2020 It is The Rising Of The Sun,https://www.youtube.com/watch?v=TpSgwGkcHPA,2025-12-28,Unknown,Full Sermon,
2020-04-15,Success,Unknown Speaker,04-15-2020 The Seller Of Oil,https://www.youtube.com/watch?v=soI7o0l-nm4,2025-12-28,Unknown,Full Sermon,
