date,status,speaker,title,url,last_checked,language,type
2025-01-02,Success,Stuart Duckworth,Bro. Stuart Duckworth 1125,https://www.youtube.com/watch?v=idX1xYQU_hE,2025-12-28,Unknown,Full Sermon
2022-04-08,Success,George Moore,Encourage Yourself in the Lord Bro. George Moore,https://www.youtube.com/watch?v=Ei-EBEP3K8E,2025-12-28,Unknown,Full Sermon
2020-09-02,Success,Stuart Duckworth,Bro. Stuart Duckworth,https://www.youtube.com/watch?v=AwvWOocdqpY,2025-12-28,Unknown,Full Sermon
2024-04-04,Success,Unknown Speaker,Christ is the Mystery of God Revealed Part 7 God Unfolding Himself,https://www.youtube.com/watch?v=i3QMD3-iLR0,2025-12-28,Unknown,Full Sermon
2024-02-03,Success,Unknown Speaker,Bro. Andrew Glover Friday Night 2224,https://www.youtube.com/watch?v=VVNUcY6hJP8,2025-12-28,Unknown,Full Sermon
2024-11-18,Success,Unknown Speaker,Bro. Josh Cathey Sunday Afternoon 11-17-24,https://www.youtube.com/watch?v=MqNZHIqC8bQ,2025-12-28,Unknown,Full Sermon
2021-02-25,Success,Unknown Speaker,The Mystery of Marriage Part 1,https://www.youtube.com/watch?v=cHz9hOweXjY,2025-12-28,Unknown,Full Sermon
2013-04-15,Success,Unknown Speaker,Perception of a Prophet,https://www.youtube.com/watch?v=tZf75Zu-Qc4,2025-12-28,Unknown,Full Sermon
2023-03-23,Success,Unknown Speaker,Authority In The Believer,https://www.youtube.com/watch?v=g2Avz0glm7Y,2025-12-28,Unknown,Full Sermon
2024-05-20,Success,Stuart Duckworth,Bro. Stuart Duckworth 51924 Sunday Evening,https://www.youtube.com/watch?v=qSncxlR6T3w,2025-12-28,Unknown,Full Sermon
2025-08-14,Success,Ben Pruitt,Ephesians Part 3 Heavenly Places Pastor Ben Pruitt 81325,https://www.youtube.com/watch?v=_uxCqioGar0,2025-12-28,Unknown,Full Sermon
2020-09-09,Success,Unknown Speaker,Corinthians Study Part 9 Ministers and Stewards,https://www.youtube.com/watch?v=nMl4fFGkxno,2025-12-28,Unknown,Full Sermon
2025-11-13,Success,Stuart Duckworth,The Purpose of God Fulfilled Part 3 Bro. Stuart Duckworth 111225,https://www.youtube.com/watch?v=HopbBxlAKxc,2025-12-28,Unknown,Full Sermon
2023-08-28,Success,Alan Price,Bro. Alan Price Finances,https://www.youtube.com/watch?v=7cTexBNfvhA,2025-12-28,Unknown,Full Sermon
2022-10-23,Success,George Smith,Bro. George Smith,https://www.youtube.com/watch?v=TG-9trGOq78,2025-12-28,Unknown,Full Sermon
2022-05-18,Success,Unknown Speaker,Breaking the Family Curse Part 8 Music and Atmosphere,https://www.youtube.com/watch?v=1ylEqhL24VA,2025-12-28,Unknown,Full Sermon
2025-12-21,Success,Ben Pruitt,Recognizing the Word Made Flesh and Dwelling Among Us Sunday Morning 12212025 Pastor Ben Pruitt,https://www.youtube.com/watch?v=bih4RBdGb9Q,2025-12-28,Unknown,Full Sermon
2021-02-07,Success,Unknown Speaker,An Absolute Experience,https://www.youtube.com/watch?v=niRYUZT0jAE,2025-12-28,Unknown,Full Sermon
2024-07-15,Success,Unknown Speaker,"Inspirational, Joel Pruitt",https://www.youtube.com/watch?v=BIymWRxP1gQ,2025-12-28,Unknown,Full Sermon
2025-10-02,Success,Ben Pruitt,Ephesians Part 7 Predestinated Upon Adoption Pastor Ben Pruitt 10125,https://www.youtube.com/watch?v=3OL7WaHzHVA,2025-12-28,Unknown,Full Sermon
2022-10-17,Success,Unknown Speaker,''Conditions of the Last Age'',https://www.youtube.com/watch?v=37nKkd9e-og,2025-12-28,Unknown,Full Sermon
2023-02-05,Success,Unknown Speaker,Hold On Bro. Darrell Ward,https://www.youtube.com/watch?v=TcO1D8jEOOo,2025-12-28,Unknown,Full Sermon
2023-09-02,Success,Unknown Speaker,Wings of a Dove,https://www.youtube.com/watch?v=yyISC9IJPQU,2025-12-28,Unknown,Song / Worship
2021-04-21,Success,Unknown Speaker,Bro.Andrew Glover,https://www.youtube.com/watch?v=0Ila6dm6xbM,2025-12-28,Unknown,Full Sermon
2025-07-24,Success,Joel Pruitt,Bro Joel Pruitt  Birth Pains Study Part 1  Wednesday Night 72325,https://www.youtube.com/watch?v=IGGeDekX4TE,2025-12-28,Unknown,Full Sermon
2021-05-13,Success,Unknown Speaker,Bro.Andrew Glover,https://www.youtube.com/watch?v=VTSnUpvttIo,2025-12-28,Unknown,Full Sermon
2020-11-11,Success,Unknown Speaker,BRO ALAN PRICE,https://www.youtube.com/watch?v=LX329tWRlvM,2025-12-28,Unknown,Full Sermon
2021-06-27,Success,Ben Pruitt,End Time Expectations Part 2 Pastor Ben Pruitt,https://www.youtube.com/watch?v=PoJP5uQUtV0,2025-12-28,Unknown,Full Sermon
2023-07-02,Success,Unknown Speaker,A Contrast in Kingdoms,https://www.youtube.com/watch?v=DZUNu2Z22MI,2025-12-28,Unknown,Full Sermon
2023-05-25,Success,Ben Pruitt,Spiritual Gifts Part 10 Tongues and Interpretation Pastor Ben Pruitt 52423,https://www.youtube.com/watch?v=UFIGf2kHhps,2025-12-28,Unknown,Full Sermon
2023-12-17,Success,Unknown Speaker,Faithful Messengers of the Brides Revival,https://www.youtube.com/watch?v=15oB0JH11NA,2025-12-28,Unknown,Full Sermon
2021-05-03,Success,Stuart Duckworth,Bro Stuart Duckworth,https://www.youtube.com/watch?v=x8RHSC_NL8M,2025-12-28,Unknown,Full Sermon
2020-04-08,Success,Unknown Speaker,Corinthians study part 1,https://www.youtube.com/watch?v=HbsqrB5XRG0,2025-12-28,Unknown,Full Sermon
2020-07-29,Success,Braden Savage,Bro. Braden Savage,https://www.youtube.com/watch?v=9t4JlMHcaqE,2025-12-28,Unknown,Full Sermon
2020-05-21,Success,Unknown Speaker,How to Not Become what you Hate,https://www.youtube.com/watch?v=UALNJw5KMqw,2025-12-28,Unknown,Full Sermon
2025-12-14,Success,Unknown Speaker,Despise Not the Day of Small Things Stuart Duckworth Sunday Morning 121425,https://www.youtube.com/watch?v=aO8P0PptOQ4,2025-12-28,Unknown,Full Sermon
2024-02-04,Success,Shawn Martin,Bro. Shawn Martin 2324 Saturday Night,https://www.youtube.com/watch?v=JMt0tWzSZ7Y,2025-12-28,Unknown,Full Sermon
2024-11-04,Success,Stuart Duckworth,Bro Stuart Duckworth Centered on Revelation Sunday Evening 11-3-24,https://www.youtube.com/watch?v=XQ8i770mcU8,2025-12-28,Unknown,Full Sermon
2020-06-07,Success,Unknown Speaker,God's Perfect Plan for the Church,https://www.youtube.com/watch?v=u2JORMDBZMQ,2025-12-28,Unknown,Full Sermon
2023-07-14,Success,Unknown Speaker,Bro. Andrew Glover  Thursday Night 2023 Meetings,https://www.youtube.com/watch?v=phC-ra_usEY,2025-12-28,Unknown,Full Sermon
